"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum","X"
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N645JB",2191,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,15304,1530402,33195,"TPA","Tampa, FL","FL",12,"Florida",33,1000,1045,45,45,1,3,"1000-1059",15,1100,1352,3,1328,1355,27,27,1,1,"1300-1359",0,0,208,190,172,1,1185,5,27,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N535JB",2269,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,1150,1250,60,60,1,4,"1100-1159",17,1307,1615,7,1525,1622,57,57,1,3,"1500-1559",0,0,215,212,188,1,1237,5,49,0,0,0,8,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N535JB",2469,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL",12,"Florida",33,2015,2116,61,61,1,4,"2000-2059",19,2135,34,3,2343,37,54,54,1,3,"2300-2359",0,0,208,201,179,1,1237,5,3,0,0,0,51,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,9,2,"2018-01-09","B6",20409,"B6","N374JB",2579,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,11618,1161802,31703,"EWR","Newark, NJ","NJ",34,"New Jersey",21,1509,1527,18,18,1,1,"1500-1559",66,1633,1720,9,1636,1729,53,53,1,3,"1600-1659",0,0,87,122,47,1,200,1,0,0,53,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N639JB",61,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14843,1484306,34819,"SJU","San Juan, PR","PR",72,"Puerto Rico",3,2255,2359,64,64,1,4,"2200-2259",12,11,440,3,351,443,52,52,1,3,"0001-0559",0,0,236,224,209,1,1674,7,23,0,0,0,29,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N715JB",165,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14635,1463502,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,1449,1547,58,58,1,3,"1400-1459",11,1558,1852,4,1830,1856,26,26,1,1,"1800-1859",0,0,221,189,174,1,1249,5,26,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N968JB",177,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12889,1288903,32211,"LAS","Las Vegas, NV","NV",32,"Nevada",85,2045,2139,54,54,1,3,"2000-2059",14,2153,17,7,2355,24,29,29,1,1,"2300-2359",0,0,370,345,324,1,2381,10,13,0,0,0,16,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N827JB",221,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14027,1402702,34027,"PBI","West Palm Beach/Palm Beach, FL","FL",12,"Florida",33,2030,2056,26,26,1,1,"2000-2059",13,2109,2344,2,2353,2346,-7,0,0,-1,"2300-2359",0,0,203,170,155,1,1197,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N591JB",251,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13204,1320402,31454,"MCO","Orlando, FL","FL",12,"Florida",33,830,920,50,50,1,3,"0800-0859",15,935,1218,15,1155,1233,38,38,1,2,"1100-1159",0,0,205,193,163,1,1121,5,38,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N591JB",321,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14027,1402702,34027,"PBI","West Palm Beach/Palm Beach, FL","FL",12,"Florida",33,1644,1716,32,32,1,2,"1600-1659",11,1727,2006,3,2013,2009,-4,0,0,-1,"2000-2059",0,0,209,173,159,1,1197,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N526JB",401,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,13495,1349505,33495,"MSY","New Orleans, LA","LA",22,"Louisiana",72,1100,1204,64,64,1,4,"1100-1159",14,1218,1420,2,1358,1422,24,24,1,1,"1300-1359",0,0,238,198,182,1,1368,6,24,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N768JB",405,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,12954,1295406,32575,"LGB","Long Beach, CA","CA",6,"California",91,1753,1819,26,26,1,1,"1700-1759",21,1840,2133,4,2135,2137,2,2,0,0,"2100-2159",0,0,402,378,353,1,2602,11,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,1,1,10,3,"2018-01-10","B6",20409,"B6","N592JB",465,10721,1072102,30721,"BOS","Boston, MA","MA",25,"Massachusetts",13,14635,1463502,31714,"RSW","Fort Myers, FL","FL",12,"Florida",33,603,632,29,29,1,1,"0600-0659",18,650,1025,5,954,1030,36,36,1,2,"0900-0959",0,0,231,238,215,1,1249,5,29,0,7,0,0,558,19,19,0,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
